N,n,r,h,h_floor,eps_h,z_h,rho30,boost_G,boost_primes,family,z_native_i,x,y,z
178,89,7,4.426651035138514,4,3,1.2230973925851942,28,1.0114942528735633,89,shell_other,3+28i,5.3611791520001555,13.613049254451438,2.526280952493749
180,90,14,11.750658645343353,11,3,0.6561819242898626,0,2.6666666666666665,"3,5",mobius_3x5,3,23.16698913585493,0.0,3.198194476442808
182,91,6,5.807856855336877,5,1,0.0797291147869268,2,1.3090909090909089,"7,13",shell_other,1+2i,5.619818764244487,18.502104520076813,1.4803497368078558
184,92,8,4.679222368495828,4,4,1.5351575498110455,4,1.0476190476190477,23,shell_other,4+4i,3.9432904178889157,20.379467687713465,2.893251654644666
186,93,13,9.302932974672522,9,4,1.212124914873216,6,2.0689655172413794,"3,31",cone_3,4+6i,-4.318030495378417,5.176569854404662,2.5747570256203924
188,94,5,4.626802686695795,4,1,0.17349941668055102,8,1.0222222222222221,47,shell_other,1+8i,-0.6126742635922571,21.829206235539175,1.5563028749167593
190,95,8,6.431913703146873,6,2,0.618300866607467,10,1.4117647058823528,"5,19",ring_5,2+10i,3.9996876075831707,3.464642694675604,1.856335803425201
192,96,11,9.171150642776805,9,2,0.6039013778013222,12,2.0,3,cone_3,2+12i,-10.304748634785934,3.127582955545,2.0112647011924625
194,97,7,4.663710814719183,4,3,1.0818344128295836,14,1.0105263157894737,97,shell_other,3+14i,-5.7116906438641255,17.214057324582594,2.506292693798229
196,98,9,5.573526591318864,5,4,1.4513839864005467,16,1.2,7,shell_other,4+16i,-5.8881617260343,14.748432588957128,2.9356786012530733
198,99,13,10.38666976786218,10,3,0.8108791443975283,18,2.2222222222222223,"3,11",cone_3,3+18i,-10.715896828470019,-3.4262996035690705,2.2615971147600655
200,100,8,6.271092339081022,6,2,0.6903990750792832,20,1.3333333333333333,5,ring_5,2+20i,4.020488290273267,-3.4286148554242333,1.9826773441415932
202,101,9,4.780363734702033,4,5,1.9299432761878104,22,1.0101010101010102,101,shell_other,5+22i,-0.6088440401135599,10.207235906578319,3.4113302088964383
204,102,14,10.15834651672836,10,4,1.205331974219265,24,2.1333333333333333,"3,17",cone_3,4+24i,-4.250292276019592,-5.3850466569628885,2.6981102277930846
206,103,7,4.838248543196631,4,3,0.9827921367418458,26,1.00990099009901,103,shell_other,3+26i,3.8925806235883265,11.676851244461183,2.491802023104742
208,104,7,5.257996877261148,5,2,0.7596941239833916,28,1.0909090909090908,13,shell_other,2+28i,5.382775643830603,13.603433876786493,2.3028631811409097
210,105,19,15.516073855980354,15,4,0.8844596418525154,0,3.1999999999999997,"3,5,7",mobius_3x5,4,22.89747305884254,0.0,3.619263105375891
212,106,6,4.973283548909002,4,2,0.4603932103960497,2,1.0196078431372548,53,shell_other,2+2i,5.313261055082774,18.365616234255548,2.0124226488819423
214,107,8,4.953170596681878,4,4,1.3690096044773283,4,1.0095238095238095,107,shell_other,4+4i,3.882826489661467,20.312315692328326,2.931689430326379
216,108,13,9.870342469382692,9,4,0.9961636855283732,6,2.0,3,cone_3,4+6i,-4.32581887455708,5.152599688025211,2.569473277380472
218,109,7,5.010221267305822,5,2,0.8889479477251131,8,1.0093457943925233,109,shell_other,2+8i,-0.605796867956957,21.763772186969053,2.477713886458265
220,110,9,7.396178815419204,7,2,0.5897286736785666,10,1.4814814814814814,"5,11",ring_5,2+10i,4.05713835776682,3.3651350764245764,2.041458471134929
222,111,11,10.328797383978621,10,1,0.208847250179782,12,2.057142857142857,"3,37",cone_3,1+12i,-10.503916895735275,3.2722871673535647,1.8207596637441708
224,112,7,6.059278266545722,6,1,0.38216484031300624,14,1.2,7,shell_other,1+14i,-5.8379898525072615,17.240903050113424,2.0608649630989238
226,113,7,5.1235334752376955,5,2,0.8290028663891512,16,1.009009009009009,113,shell_other,2+16i,-5.654685537203359,14.798059484886853,2.4685332088421785
228,114,12,10.812941374012448,10,2,0.3609942164776894,18,2.1176470588235294,"3,19",cone_3,2+18i,-10.631365305289965,-3.36488385702169,2.0104799194807232
230,115,9,7.171818422724102,7,2,0.6826603600531249,20,1.3968253968253967,"5,23",ring_5,2+20i,4.073300663145048,-3.337141142342036,2.1737859844791187
232,116,7,5.3537708977394,5,2,0.711476211137926,22,1.037037037037037,29,shell_other,2+22i,-0.6059845438518775,10.234442196167452,2.3957986653714256
234,117,15,11.32515555514955,11,4,1.0919855017214235,24,2.1818181818181817,"3,13",cone_3,4+24i,-4.1795364814789755,-5.602810600980299,2.778068453352475
236,118,9,5.310322513630688,5,4,1.601135022714749,26,1.0175438596491229,59,shell_other,4+26i,3.8619035431886366,11.7109215938715,3.3041739394721232
238,119,9,6.715868537411686,6,3,0.8813938236279056,28,1.28,"7,17",shell_other,3+28i,5.4991455161647425,13.551622671517642,2.6711555534173206
240,120,18,14.065915153475425,14,4,1.0489619271266164,0,2.6666666666666665,"3,5",mobius_3x5,4,22.780680115023483,0.0,3.6671677445684803
242,121,8,5.891781741592296,5,3,0.8685448412884808,2,1.1111111111111112,11,shell_other,3+2i,5.344711242486851,18.379618759846174,2.6340915850957622
244,122,9,5.420775368199383,5,4,1.5372986651339344,4,1.0169491525423728,61,shell_other,4+4i,3.8520819194093265,20.278170387843254,3.2872701286216155
246,123,16,10.99117018770843,10,6,1.5108255107306712,6,2.051282051282051,"3,41",cone_3,6+6i,-4.256938044464123,5.364593084829273,3.267368886753733
248,124,6,5.571624071028553,5,1,0.18148225053389458,8,1.0344827586206897,31,shell_other,1+8i,-0.6027704217890387,21.734977475126392,1.9595945480279355
250,125,9,7.218070859415744,7,2,0.6632539719725563,10,1.3333333333333333,5,ring_5,2+10i,4.101941744617726,3.2875333340476436,2.2767087807859716
252,126,16,13.058749700897785,13,3,0.8139189976798763,12,2.4,"3,7",cone_3,3+12i,-11.220866861320388,3.7931818078031307,2.60441377206269
254,127,9,5.51243101686591,5,4,1.4854266890680363,14,1.008,127,shell_other,4+14i,-5.605521694937873,17.191490417842708,3.2894613649459274
256,128,8,5.496161303792043,5,3,1.0680131794996512,16,1.0,,spine_none,3+16i,-16.79154475437464,-0.3912590402935223,4.272052717998605
258,129,14,11.316614212854276,11,3,0.7976729405006465,18,2.048780487804878,"3,43",cone_3,3+18i,-10.591257424253172,-3.335743775740281,2.62132018220179
260,130,10,8.074116000234671,8,2,0.6777704540313017,20,1.4545454545454544,"5,13",ring_5,2+20i,4.1146327662998345,-3.265551839694267,2.342854787667993
262,131,9,5.621511989308035,5,4,1.4249374853291934,22,1.0077519379844961,131,shell_other,4+22i,-0.5975432539304563,10.31475570494361,3.272644906315383
264,132,16,12.456734616739995,12,4,1.0039257072391645,24,2.2222222222222223,"3,11",cone_3,4+24i,-4.117506736647222,-5.7937185254641665,2.8599632226486005
266,133,8,7.156890960739523,7,1,0.31515307232225154,26,1.2705882352941176,"7,19",shell_other,1+26i,3.9876167562245186,11.571302926194463,2.26600715465458
